Date,Open,High,Low,Close,Volume,funding_rate
2021-01-02 00:00:00,1.8421,1.9071,1.7244,1.8614,1310461.36,-0.00120567
2021-01-02 08:00:00,1.7526,1.7954,1.7158,1.7655,603978.54,0.0001
2021-01-03 08:00:00,2.0662,2.38,2.0642,2.2657,2471257.28,-0.00048296
2021-01-04 00:00:00,2.1789,2.4,2.1,2.3094,1697574.43,-0.00302774
2021-01-04 08:00:00,2.1153,2.2138,1.86,2.0429,1753753.05,0.0001
2021-01-04 16:00:00,2.2757,2.45,2.1179,2.4397,1018018.08,-0.00240332
2021-01-06 16:00:00,2.0801,2.1265,1.9743,1.981,1473862.55,-0.0075
2021-01-07 08:00:00,2.126,2.3896,2.005,2.2037,7923928.63,-0.0075
2021-01-08 00:00:00,2.3655,2.4245,2.175,2.2619,3938806.46,-0.00094262
2021-01-08 08:00:00,2.4054,3.4,2.193,3.1519,9827803.45,0.00071256
2021-01-08 16:00:00,3.3027,3.5437,3.1826,3.2105,2664799.18,0.00012872
2021-01-09 16:00:00,3.1011,3.6998,2.93,3.6238,3049052.54,0.00051747
2021-01-10 00:00:00,3.3734,3.6605,3.3151,3.5265,1005418.91,0.00318311
2021-01-10 16:00:00,3.4153,3.4599,3.2563,3.3251,904865.47,0.00080074
2021-01-11 00:00:00,3.4455,3.5282,3.0376,3.1376,1345320.45,0.00024441
2021-01-11 16:00:00,2.7584,2.9069,2.5795,2.8578,1160835.08,0.00087274
2021-01-12 00:00:00,3.1016,3.2799,3.058,3.2708,567930.66,0.0001
2021-01-12 08:00:00,3.3824,3.4695,3.293,3.4185,812800.82,-4.075e-05
2021-01-13 08:00:00,3.4888,3.4895,3.265,3.3708,721928.25,0.00028285
2021-01-14 00:00:00,3.5243,3.5387,3.3616,3.3844,467139.43,0.0001
2021-01-14 16:00:00,3.4951,3.5072,3.1814,3.2886,2420209.54,0.00127162
2021-01-15 08:00:00,3.3711,3.4213,3.3233,3.3747,744955.94,0.0001
2021-01-16 00:00:00,3.2479,3.4622,3.2463,3.453,1055070.94,0.00063201
2021-01-16 16:00:00,3.4024,3.649,3.3164,3.5853,2079144.26,0.00199151
2021-01-17 08:00:00,3.388,3.6085,3.3086,3.6009,900335.45,0.00088588
2021-01-18 00:00:00,3.8243,3.8997,3.6167,3.7607,1535188.71,0.00122517
2021-01-18 16:00:00,3.9654,4.0359,3.865,3.9021,503583.23,0.00146114
2021-01-19 00:00:00,3.7873,4.0498,3.7508,3.961,730198.32,0.00120146
2021-01-21 00:00:00,3.7199,3.7411,3.5041,3.53,675102.98,-4.668e-05
2021-01-21 08:00:00,3.5579,3.5579,3.365,3.4842,831118.26,0.0001
2021-01-23 00:00:00,3.3302,3.4233,3.3056,3.4226,257782.62,0.0001
2021-01-23 16:00:00,3.4806,3.5364,3.4577,3.514,270622.13,0.0001
2021-01-25 16:00:00,3.7116,3.9928,3.601,3.893,2202057.86,0.0001
2021-01-26 08:00:00,3.7507,4.05,3.7347,4.017,1397630.68,0.0001
2021-01-26 16:00:00,3.7883,4.034,3.7403,4.0224,1471147.81,0.0001
2021-01-27 00:00:00,4.0418,4.0422,3.8379,3.8438,363799.99,0.0001
2021-01-28 00:00:00,3.664,3.7387,3.6,3.7319,187575.25,0.0001
2021-01-28 08:00:00,3.7634,3.8478,3.7358,3.8235,232629.02,0.0001
2021-01-28 16:00:00,3.8887,3.9205,3.8431,3.8542,372551.89,0.00032246
2021-01-29 08:00:00,3.6662,3.7551,3.6,3.728,820352.11,0.00046897
2021-01-29 16:00:00,3.8133,3.845,3.7036,3.7388,289338.23,0.00135527
2021-01-30 00:00:00,3.8301,3.9188,3.8136,3.8286,310175.53,0.00074522
2021-01-30 08:00:00,3.8361,3.93,3.8001,3.881,465840.79,0.000426
2021-01-30 16:00:00,4.0426,4.2116,3.9447,4.02,1028510.34,0.00083867
2021-01-31 08:00:00,4.4892,4.805,4.4659,4.55,1507240.6,0.00068997
2021-01-31 16:00:00,4.2266,4.3952,4.1798,4.2924,611417.78,0.00125194
2021-02-01 16:00:00,4.2103,4.495,4.2042,4.495,361513.72,0.00023243
2021-02-02 00:00:00,4.6148,4.92,4.4632,4.8068,1168783.9,0.00049185
2021-02-02 16:00:00,5.0523,5.2666,5.03,5.1654,534489.33,0.00178222
2021-02-04 08:00:00,5.8314,5.8745,5.5676,5.7631,795021.72,0.00196534
2021-02-05 16:00:00,6.9411,7.1438,6.641,6.716,849748.18,0.00248849
2021-02-06 16:00:00,5.7925,6.112,5.7,6.085,722965.64,0.0015495
2021-02-07 00:00:00,6.1219,6.1889,5.853,5.9017,398207.16,0.00069317
2021-02-08 00:00:00,6.6931,6.7325,6.4554,6.6459,625358.75,0.00045129
2021-02-08 16:00:00,7.755,8.078,7.5248,8.0344,1357388.63,0.00189272
2021-02-11 00:00:00,9.0897,9.26,8.72,8.9489,728202.72,0.0016268
2021-02-11 08:00:00,9.4522,9.7425,9.0652,9.159,1976962.8,0.00151791
2021-02-11 16:00:00,9.2689,9.4085,8.9989,9.1219,754326.75,0.00128569
2021-02-12 00:00:00,9.2058,9.6464,9.0353,9.4242,604507.7,0.00211126
2021-02-12 08:00:00,9.3325,9.8874,9.2914,9.7662,471706.91,0.00076834
2021-02-12 16:00:00,9.5404,9.7335,9.4233,9.4421,380831.02,0.00087438
2021-02-13 16:00:00,9.07,9.1558,8.8647,8.8884,519810.66,0.0014149
2021-02-14 08:00:00,8.714,8.7419,8.5501,8.5699,306301.79,0.00252331
2021-02-15 00:00:00,8.7234,8.7988,7.7,8.1148,966891.12,0.00066418
2021-02-15 16:00:00,8.9147,9.38,8.8333,9.1943,656445.04,0.0001
2021-02-16 08:00:00,8.7288,8.7923,8.5736,8.575,229537.57,0.00158627
2021-02-18 08:00:00,8.5484,8.5846,8.4238,8.5178,206657.33,0.00155495
2021-02-20 00:00:00,11.4845,11.8327,10.8478,11.1003,1095388.66,0.00134072
2021-02-20 16:00:00,10.2533,10.605,10.2064,10.4481,539801.44,0.00248155
2021-02-22 16:00:00,10.2747,14.0238,10.1716,13.32,5606881.07,0.0001
2021-02-23 00:00:00,14.4176,15.2422,13.5476,13.993,3749727.31,-0.00114458
2021-02-23 16:00:00,15.4,15.8,14.23,14.2602,3466815.51,0.0001
2021-02-25 08:00:00,16.3183,16.3852,15.532,16.1646,1337974.87,0.0001
2021-02-26 00:00:00,13.8565,14.6432,13.2,14.63,1564108.5,0.0001
2021-02-27 08:00:00,13.8889,13.9941,13.3183,13.9314,1029431.01,0.0001
2021-02-27 16:00:00,13.3866,13.85,13.3342,13.8249,504294.86,0.00013802
