candidate_id,signal_family,horizon_candles,horizon_hours,interpretation,period,lower_threshold,upper_threshold,standard_deviations,model_family,window_scheme,calibration,confirmatory_eligible
v2-candidate-00001,rsi,1,4,continuous,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00002,rsi,1,4,continuous,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00003,rsi,1,4,continuous,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00004,rsi,1,4,continuous,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00005,rsi,1,4,continuous,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00006,rsi,1,4,continuous,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00007,rsi,1,4,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00008,rsi,1,4,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00009,rsi,1,4,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00010,rsi,1,4,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00011,rsi,1,4,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00012,rsi,1,4,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00013,rsi,1,4,continuous,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00014,rsi,1,4,continuous,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00015,rsi,1,4,continuous,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00016,rsi,1,4,continuous,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00017,rsi,1,4,continuous,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00018,rsi,1,4,continuous,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00019,rsi,2,8,continuous,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00020,rsi,2,8,continuous,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00021,rsi,2,8,continuous,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00022,rsi,2,8,continuous,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00023,rsi,2,8,continuous,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00024,rsi,2,8,continuous,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00025,rsi,2,8,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00026,rsi,2,8,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00027,rsi,2,8,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00028,rsi,2,8,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00029,rsi,2,8,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00030,rsi,2,8,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00031,rsi,2,8,continuous,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00032,rsi,2,8,continuous,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00033,rsi,2,8,continuous,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00034,rsi,2,8,continuous,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00035,rsi,2,8,continuous,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00036,rsi,2,8,continuous,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00037,rsi,3,12,continuous,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00038,rsi,3,12,continuous,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00039,rsi,3,12,continuous,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00040,rsi,3,12,continuous,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00041,rsi,3,12,continuous,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00042,rsi,3,12,continuous,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00043,rsi,3,12,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00044,rsi,3,12,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00045,rsi,3,12,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00046,rsi,3,12,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00047,rsi,3,12,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00048,rsi,3,12,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00049,rsi,3,12,continuous,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00050,rsi,3,12,continuous,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00051,rsi,3,12,continuous,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00052,rsi,3,12,continuous,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00053,rsi,3,12,continuous,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00054,rsi,3,12,continuous,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00055,rsi,6,24,continuous,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00056,rsi,6,24,continuous,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00057,rsi,6,24,continuous,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00058,rsi,6,24,continuous,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00059,rsi,6,24,continuous,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00060,rsi,6,24,continuous,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00061,rsi,6,24,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00062,rsi,6,24,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00063,rsi,6,24,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00064,rsi,6,24,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00065,rsi,6,24,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00066,rsi,6,24,continuous,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00067,rsi,6,24,continuous,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00068,rsi,6,24,continuous,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00069,rsi,6,24,continuous,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00070,rsi,6,24,continuous,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00071,rsi,6,24,continuous,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00072,rsi,6,24,continuous,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00073,rsi,1,4,contrarian,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00074,rsi,1,4,contrarian,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00075,rsi,1,4,contrarian,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00076,rsi,1,4,contrarian,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00077,rsi,1,4,contrarian,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00078,rsi,1,4,contrarian,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00079,rsi,1,4,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00080,rsi,1,4,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00081,rsi,1,4,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00082,rsi,1,4,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00083,rsi,1,4,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00084,rsi,1,4,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00085,rsi,1,4,contrarian,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00086,rsi,1,4,contrarian,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00087,rsi,1,4,contrarian,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00088,rsi,1,4,contrarian,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00089,rsi,1,4,contrarian,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00090,rsi,1,4,contrarian,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00091,rsi,2,8,contrarian,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00092,rsi,2,8,contrarian,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00093,rsi,2,8,contrarian,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00094,rsi,2,8,contrarian,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00095,rsi,2,8,contrarian,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00096,rsi,2,8,contrarian,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00097,rsi,2,8,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00098,rsi,2,8,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00099,rsi,2,8,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00100,rsi,2,8,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00101,rsi,2,8,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00102,rsi,2,8,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00103,rsi,2,8,contrarian,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00104,rsi,2,8,contrarian,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00105,rsi,2,8,contrarian,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00106,rsi,2,8,contrarian,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00107,rsi,2,8,contrarian,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00108,rsi,2,8,contrarian,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00109,rsi,3,12,contrarian,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00110,rsi,3,12,contrarian,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00111,rsi,3,12,contrarian,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00112,rsi,3,12,contrarian,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00113,rsi,3,12,contrarian,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00114,rsi,3,12,contrarian,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00115,rsi,3,12,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00116,rsi,3,12,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00117,rsi,3,12,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00118,rsi,3,12,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00119,rsi,3,12,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00120,rsi,3,12,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00121,rsi,3,12,contrarian,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00122,rsi,3,12,contrarian,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00123,rsi,3,12,contrarian,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00124,rsi,3,12,contrarian,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00125,rsi,3,12,contrarian,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00126,rsi,3,12,contrarian,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00127,rsi,6,24,contrarian,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00128,rsi,6,24,contrarian,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00129,rsi,6,24,contrarian,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00130,rsi,6,24,contrarian,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00131,rsi,6,24,contrarian,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00132,rsi,6,24,contrarian,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00133,rsi,6,24,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00134,rsi,6,24,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00135,rsi,6,24,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00136,rsi,6,24,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00137,rsi,6,24,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00138,rsi,6,24,contrarian,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00139,rsi,6,24,contrarian,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00140,rsi,6,24,contrarian,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00141,rsi,6,24,contrarian,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00142,rsi,6,24,contrarian,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00143,rsi,6,24,contrarian,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00144,rsi,6,24,contrarian,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00145,rsi,1,4,continuation,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00146,rsi,1,4,continuation,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00147,rsi,1,4,continuation,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00148,rsi,1,4,continuation,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00149,rsi,1,4,continuation,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00150,rsi,1,4,continuation,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00151,rsi,1,4,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00152,rsi,1,4,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00153,rsi,1,4,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00154,rsi,1,4,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00155,rsi,1,4,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00156,rsi,1,4,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00157,rsi,1,4,continuation,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00158,rsi,1,4,continuation,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00159,rsi,1,4,continuation,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00160,rsi,1,4,continuation,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00161,rsi,1,4,continuation,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00162,rsi,1,4,continuation,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00163,rsi,2,8,continuation,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00164,rsi,2,8,continuation,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00165,rsi,2,8,continuation,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00166,rsi,2,8,continuation,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00167,rsi,2,8,continuation,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00168,rsi,2,8,continuation,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00169,rsi,2,8,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00170,rsi,2,8,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00171,rsi,2,8,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00172,rsi,2,8,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00173,rsi,2,8,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00174,rsi,2,8,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00175,rsi,2,8,continuation,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00176,rsi,2,8,continuation,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00177,rsi,2,8,continuation,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00178,rsi,2,8,continuation,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00179,rsi,2,8,continuation,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00180,rsi,2,8,continuation,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00181,rsi,3,12,continuation,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00182,rsi,3,12,continuation,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
v2-candidate-00183,rsi,3,12,continuation,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,none,True
v2-candidate-00184,rsi,3,12,continuation,7,20.0,80.0,,regularized_linear,rolling_one_year_observations,sigmoid,True
v2-candidate-00185,rsi,3,12,continuation,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,none,True
v2-candidate-00186,rsi,3,12,continuation,7,20.0,80.0,,regularized_linear,rolling_two_year_observations,sigmoid,True
v2-candidate-00187,rsi,3,12,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,none,True
v2-candidate-00188,rsi,3,12,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,expanding,sigmoid,True
v2-candidate-00189,rsi,3,12,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,none,True
v2-candidate-00190,rsi,3,12,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_one_year_observations,sigmoid,True
v2-candidate-00191,rsi,3,12,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,none,True
v2-candidate-00192,rsi,3,12,continuation,7,20.0,80.0,,shallow_hist_gradient_boosting,rolling_two_year_observations,sigmoid,True
v2-candidate-00193,rsi,3,12,continuation,7,20.0,80.0,,spline_regularized,expanding,none,True
v2-candidate-00194,rsi,3,12,continuation,7,20.0,80.0,,spline_regularized,expanding,sigmoid,True
v2-candidate-00195,rsi,3,12,continuation,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,none,True
v2-candidate-00196,rsi,3,12,continuation,7,20.0,80.0,,spline_regularized,rolling_one_year_observations,sigmoid,True
v2-candidate-00197,rsi,3,12,continuation,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,none,True
v2-candidate-00198,rsi,3,12,continuation,7,20.0,80.0,,spline_regularized,rolling_two_year_observations,sigmoid,True
v2-candidate-00199,rsi,6,24,continuation,7,20.0,80.0,,regularized_linear,expanding,none,True
v2-candidate-00200,rsi,6,24,continuation,7,20.0,80.0,,regularized_linear,expanding,sigmoid,True
