level,horizon_candles,outer_fold,inner_fold,train_rows_complete,test_rows_complete,train_end_utc,test_start_utc,probability_sum_max_abs_error,minimum_probability,prefix_invariance_max_abs_error,range_share,trend_share,stress_share,minimum_covariance_eigenvalue,transition_row_sum_max_abs_error,parameter_sha256
outer,1,1,,1621,1642,2021-10-01T08:00:00+00:00,2021-10-01T16:00:00+00:00,8.881784197001252e-16,3.2684386015426657e-12,0.0,0.9354445797807551,0.03349573690621194,0.031059683313032885,0.19384001208733498,0.0,7226aad7fe6c9f8fb093730b7e37dd34e5f26473a7324e1d4f41e953ef09ed70
inner,1,1,1.0,390,410,2021-03-10T04:00:00+00:00,2021-03-10T12:00:00+00:00,7.771561172376096e-16,2.6266642665705942e-11,0.0,0.8512195121951219,0.07804878048780488,0.07073170731707316,0.2770262279232661,1.1102230246251565e-16,a9c48068d189db5f9ad6156c4c73fc578913faac96b6e6cc79b9bd83aa4e3f7f
inner,1,1,2.0,800,410,2021-05-17T12:00:00+00:00,2021-05-17T20:00:00+00:00,1.5543122344752192e-15,1.2242483906516859e-13,0.0,0.6829268292682927,0.08536585365853659,0.23170731707317074,0.21038173857444956,0.0,05ab1b4d6c1b7a8f98ee93c78c73c41ff253c0df405c54b5577780428e3cb436
inner,1,1,3.0,1210,410,2021-07-24T20:00:00+00:00,2021-07-25T04:00:00+00:00,6.661338147750939e-16,2.9830134995928343e-12,0.0,0.7878048780487805,0.15609756097560976,0.05609756097560976,0.19287953898890692,0.0,7671ac703970c2d02feda695fe01e8eaaa629ccb0b366f14cc16cd273ab720a0
outer,1,2,,3263,1642,2022-07-02T00:00:00+00:00,2022-07-02T08:00:00+00:00,2.6645352591003757e-15,4.524538307979979e-53,0.0,0.8940316686967114,0.07003654080389768,0.035931790499390985,0.19210446037216394,0.0,c08ed0d091acdea10a0d883ff1713d4ea90cf10303c690606b896131248235d6
inner,1,2,1.0,802,820,2021-05-17T20:00:00+00:00,2021-05-18T04:00:00+00:00,1.4432899320127035e-15,3.80627273144261e-15,0.0,0.7451219512195122,0.11585365853658537,0.13902439024390245,0.2153157469629825,0.0,56467357a58ba2c9f24660ef101f1adfef9a8415daf51b3d755e798e1bb44794
inner,1,2,2.0,1622,820,2021-10-01T12:00:00+00:00,2021-10-01T20:00:00+00:00,8.881784197001252e-16,1.3697439605215743e-07,0.0,0.9621951219512195,0.020731707317073172,0.01707317073170732,0.19373731411086292,0.0,9fd7db72f555d24ef39000f36ec29bbc89b247d57d0ddb6e9b5b70871fd6feee
inner,1,2,3.0,2442,820,2022-02-15T04:00:00+00:00,2022-02-15T12:00:00+00:00,8.881784197001252e-16,1.101524219255474e-14,0.0,0.8585365853658536,0.07682926829268293,0.06463414634146342,0.19652583808932303,0.0,5bd93379113898ee51db52667237026ef5cc2b90485bce2b3dda9036db981160
outer,1,3,,4905,1642,2023-04-01T16:00:00+00:00,2023-04-02T00:00:00+00:00,8.881784197001252e-16,3.016384601280545e-13,0.0,0.8842874543239951,0.0907429963459196,0.024969549330085262,0.22366379430188688,0.0,22d1ee3bd5d077f19cae3992b4b0ed79153c95e529b7eab7230f776cee3c514a
inner,1,3,1.0,1211,1231,2021-07-25T00:00:00+00:00,2021-07-25T08:00:00+00:00,6.661338147750939e-16,5.316184042981643e-12,0.0,0.9114541023558083,0.059301380991064176,0.02924451665312754,0.1930632910204097,0.0,5df4667d744fd8fed1203dbe2317bf1deec131cbaed152ade8ec2d8efa4c6d26
