signal_spec_id,signal_family,interpretation,period,lower_threshold,upper_threshold,standard_deviations,feature_columns,complete_rows,prefix_invariance_max_abs_error,prefix_invariant,feature_frame_sha256
bollinger-p10-k1.5-continuation,bollinger,continuation,10,,,1.5,12,9842,0.0,True,e3b287043690c158fe2dba98dffa39456700efbb610d1eb00bc77d6b14262131
bollinger-p10-k2-continuation,bollinger,continuation,10,,,2.0,12,9842,0.0,True,02c60c013fec57e09a6634ab517966d7f5c99e12f6b65bcd65d951f457c782f8
bollinger-p10-k2.5-continuation,bollinger,continuation,10,,,2.5,12,9842,0.0,True,75d7461263244ab7ec675d774c258f43dc317727fe015e77570fb06a8383757e
bollinger-p20-k1.5-continuation,bollinger,continuation,20,,,1.5,12,9832,0.0,True,1383aba5cd669d68406984ae4351ff8cce6529b27fa2282e45d0efd516ab5263
bollinger-p20-k2-continuation,bollinger,continuation,20,,,2.0,12,9832,0.0,True,ba741d5dbee825857faac5316bb9304becb0895fac760fdca4cb153e34a81be9
bollinger-p20-k2.5-continuation,bollinger,continuation,20,,,2.5,12,9832,0.0,True,b52dbe7786db6d4752f9a34f30cd5bce205d6ae7e00536811444989ff7382af8
bollinger-p30-k1.5-continuation,bollinger,continuation,30,,,1.5,12,9822,0.0,True,fc6f1b9db240728fe93cdf7e22fcaa14cf45d080e143177fad8cb165a5036a1d
bollinger-p30-k2-continuation,bollinger,continuation,30,,,2.0,12,9822,0.0,True,6c8d987637361e64ee18c2fb029523fb70384691ba51d464db3083408030f13d
bollinger-p30-k2.5-continuation,bollinger,continuation,30,,,2.5,12,9822,0.0,True,35ce9c53a59568b0c5e5f108347e0940c0135f51c310f7a20e4a6b70c1e2bf97
bollinger-p40-k1.5-continuation,bollinger,continuation,40,,,1.5,12,9812,0.0,True,3a3793b0368cbd002df11effbca5170a523db282d28ec6d91caa411c1fca23b4
bollinger-p40-k2-continuation,bollinger,continuation,40,,,2.0,12,9812,0.0,True,341c5f8e14468ee84f897f752c7618884a4898f633e40235fd50ba4d0059a726
bollinger-p40-k2.5-continuation,bollinger,continuation,40,,,2.5,12,9812,0.0,True,d95015c24320ec1432107cc19e80f57dc9940df6afed736c1514c637074bbdb5
bollinger-p10-k1.5-continuous,bollinger,continuous,10,,,1.5,12,9842,0.0,True,cfa3c60c8f4e2f44f8e4a3c4bf73c90000b729eddcba05067ef6dd8acdbdc323
bollinger-p10-k2-continuous,bollinger,continuous,10,,,2.0,12,9842,0.0,True,c59aab17a477419154c6afb7c3e0e7ff2edafd4def345e4798fb90bd4fc8cbc4
bollinger-p10-k2.5-continuous,bollinger,continuous,10,,,2.5,12,9842,0.0,True,2bb9f49c101ee46470410594640b949421038a0386408ef9d7c2b30d45c8ed20
bollinger-p20-k1.5-continuous,bollinger,continuous,20,,,1.5,12,9832,0.0,True,54af940b718bdc5ae85764e67045f215bb5ede08861380c25589e08a19224a30
bollinger-p20-k2-continuous,bollinger,continuous,20,,,2.0,12,9832,0.0,True,4fd8dfc6bfbf439eb3f894a4485806c4ef5a8775e285b660948beb3305497a8a
bollinger-p20-k2.5-continuous,bollinger,continuous,20,,,2.5,12,9832,0.0,True,00408fbe723de514be17207aeef228f65fe334a4a67cf73bf917578ff9df1cbd
bollinger-p30-k1.5-continuous,bollinger,continuous,30,,,1.5,12,9822,0.0,True,af71af774fc6466fe59f43600d67bfd6ee5a9c8efcd127d3e3e548f6a054a4b3
bollinger-p30-k2-continuous,bollinger,continuous,30,,,2.0,12,9822,0.0,True,6470c49deaabd0f295250f6f684bdeab62224b4166817891ec29fa59f877da39
bollinger-p30-k2.5-continuous,bollinger,continuous,30,,,2.5,12,9822,0.0,True,afd4ffefcf2e1cd99d68e145c1fd16765c72251c47d8b1cef84f5579df62b9db
bollinger-p40-k1.5-continuous,bollinger,continuous,40,,,1.5,12,9812,0.0,True,ee64afc543ffc621037ad6f58b73b6281973ef1853dadd0d690860253f3555a8
bollinger-p40-k2-continuous,bollinger,continuous,40,,,2.0,12,9812,0.0,True,89b62b258bff74a164e63e9d0f06faa122d69af5b1fbf1e51d2ae0193edfd3ac
bollinger-p40-k2.5-continuous,bollinger,continuous,40,,,2.5,12,9812,0.0,True,d1ddbdcd6070901bafc39dca2ce3af93528eb08b2618b3c94a43d391d8838786
bollinger-p10-k1.5-contrarian,bollinger,contrarian,10,,,1.5,12,9842,0.0,True,61374ae931afda99203cde7e5a89d04733d8b56517b38e7431e7fc3c25ebcb8e
bollinger-p10-k2-contrarian,bollinger,contrarian,10,,,2.0,12,9842,0.0,True,f8b00560d18dd8e453a13a714deb71ea3b51cf066e17fbff3a81762c4d33bfe1
bollinger-p10-k2.5-contrarian,bollinger,contrarian,10,,,2.5,12,9842,0.0,True,fc4a75835fa98f80f7c207f534f48e74ea7ab7bb535b2e6eb9a156ee25a49751
bollinger-p20-k1.5-contrarian,bollinger,contrarian,20,,,1.5,12,9832,0.0,True,10b2e930315ecf95bd7567ca97e0275895c8ecf2b7933297ca18584dbef00077
bollinger-p20-k2-contrarian,bollinger,contrarian,20,,,2.0,12,9832,0.0,True,39e27a511778e21e3cc2bad949bbe1e0c15da13145069c7735ea6a2175dff287
bollinger-p20-k2.5-contrarian,bollinger,contrarian,20,,,2.5,12,9832,0.0,True,c44068c5329904c686673f195cc824fe5f63baf461336c5a43a861a24215029a
bollinger-p30-k1.5-contrarian,bollinger,contrarian,30,,,1.5,12,9822,0.0,True,a522a2ab62697f8e3772700b80fbddd570d3fdc8ac66f4c290edb889ccc1ee3e
bollinger-p30-k2-contrarian,bollinger,contrarian,30,,,2.0,12,9822,0.0,True,d93ad7d0426919281c5474601f851ac027621a9dc0661c3ba1e401863acf7828
bollinger-p30-k2.5-contrarian,bollinger,contrarian,30,,,2.5,12,9822,0.0,True,e7df2e651c7a499cc2c61de9cd96604f0fdc7bfe54ce69f829b1619d1261c2d4
bollinger-p40-k1.5-contrarian,bollinger,contrarian,40,,,1.5,12,9812,0.0,True,c7bc3eea12692e0bf8f36838847c90228bd26d201c83b4b643ba4e0f0a6ee5f3
bollinger-p40-k2-contrarian,bollinger,contrarian,40,,,2.0,12,9812,0.0,True,f7f14858c52d9be06686fecaf3197a824d90129badfb919008c6d9f544a5514a
bollinger-p40-k2.5-contrarian,bollinger,contrarian,40,,,2.5,12,9812,0.0,True,1f253eda0724bf576242a9eb4cf91997b3777ddc6f6895089b3d164883ddc8bb
rsi-p7-l20-u80-continuation,rsi,continuation,7,20.0,80.0,,11,9844,0.0,True,bd3e6b5fbf69f367f4933e19dd36ad2860dd1dc13b5b746e3c4a38d789bdde37
rsi-p7-l25-u75-continuation,rsi,continuation,7,25.0,75.0,,11,9844,0.0,True,eb94b221fb9f54a873c4b43cfb7d503dbb0095a45ce42da64b53b29483388689
rsi-p7-l30-u70-continuation,rsi,continuation,7,30.0,70.0,,11,9844,0.0,True,58ff82c66a07fba87c20a7a7801e6288009143c60662c5e5bc7fba934bf3ee34
rsi-p7-l35-u65-continuation,rsi,continuation,7,35.0,65.0,,11,9844,0.0,True,249d34bc2d6158ab5f06c37fc7aca23eb779bd2f3a3553d92d8e74ba6e211996
rsi-p14-l20-u80-continuation,rsi,continuation,14,20.0,80.0,,11,9837,0.0,True,f6dd24918d0d43aa3306f0cf13368133abf91cb3e404ef34ad37178678f75b3f
