signal_family,horizon_candles,horizon_hours,outer_fold,selected_signal_spec_id,train_rows,test_rows,benchmark_log_loss,candidate_log_loss,incremental_log_loss,benchmark_brier,candidate_brier
rsi,1,4,1,rsi-p7-l20-u80-continuation,1602,1642,0.7037050862512391,0.704408609917149,-0.0007035236659099775,0.2551322054347977,0.25546942686375396
bollinger,1,4,1,bollinger-p10-k2-continuation,1602,1642,0.7037050862512391,0.703655733370915,4.9352880324038395e-05,0.2551322054347977,0.25508389666511894
rsi,1,4,2,rsi-p7-l20-u80-continuation,3244,1642,0.6918818524351953,0.6918585455676808,2.330686751450539e-05,0.24936765030528996,0.2493574005083165
bollinger,1,4,2,bollinger-p10-k1.5-continuation,3244,1642,0.6918818524351953,0.69170181172351,0.00018004071168531421,0.24936765030528996,0.24927854546366082
rsi,1,4,3,rsi-p28-l20-u80-continuation,4886,1642,0.6932043922542188,0.6927644833227262,0.00043990893149259414,0.2500272306771962,0.2498102089737437
bollinger,1,4,3,bollinger-p40-k1.5-continuation,4886,1642,0.6932043922542188,0.6926747683858383,0.0005296238683805132,0.2500272306771962,0.24976579004241198
rsi,1,4,4,rsi-p7-l20-u80-continuation,6528,1642,0.690597202236058,0.6907426398137706,-0.0001454375777125705,0.24873982250460905,0.2488083109810033
bollinger,1,4,4,bollinger-p10-k1.5-continuation,6528,1642,0.690597202236058,0.6908884521358032,-0.0002912498997451607,0.24873982250460905,0.24888048600816787
rsi,1,4,5,rsi-p28-l20-u80-continuation,8170,1641,0.6931020711446995,0.6931929791246104,-9.090797991095911e-05,0.2499783110845088,0.2500184857318996
bollinger,1,4,5,bollinger-p40-k1.5-continuation,8170,1641,0.6931020711446995,0.6934176129344215,-0.0003155417897220403,0.2499783110845088,0.25013460421658185
rsi,2,8,1,rsi-p7-l20-u80-continuation,1601,1642,0.7043318627601776,0.7050672889869585,-0.0007354262267809109,0.2555035209896718,0.25586024744275704
bollinger,2,8,1,bollinger-p10-k1.5-continuation,1601,1642,0.7043318627601776,0.7050198360050286,-0.0006879732448510367,0.2555035209896718,0.2558432249354307
rsi,2,8,2,rsi-p7-l20-u80-continuation,3243,1642,0.6926327265399339,0.6931600996470487,-0.0005273731071148147,0.2497446336576535,0.25000634213187767
bollinger,2,8,2,bollinger-p20-k1.5-continuation,3243,1642,0.6926327265399339,0.6931128718495474,-0.0004801453096134889,0.2497446336576535,0.24998401277055035
rsi,2,8,3,rsi-p28-l20-u80-continuation,4885,1642,0.6945268999883147,0.6942869658710379,0.0002399341172768521,0.25068595382964115,0.2505666283066404
bollinger,2,8,3,bollinger-p20-k2.5-continuation,4885,1642,0.6945268999883147,0.6943836739401881,0.00014322604812666562,0.25068595382964115,0.2506150926124843
rsi,2,8,4,rsi-p28-l20-u80-continuation,6527,1642,0.6909197984318135,0.6910371710653884,-0.00011737263357491923,0.24889552375214416,0.24895102873415606
bollinger,2,8,4,bollinger-p40-k1.5-continuation,6527,1642,0.6909197984318135,0.6911183513910477,-0.00019855295923421057,0.24889552375214416,0.24899345566881775
rsi,2,8,5,rsi-p7-l20-u80-continuation,8169,1640,0.6924334363663215,0.6926236367563501,-0.00019020039002859424,0.24964783630505896,0.24974452932870092
bollinger,2,8,5,bollinger-p10-k1.5-continuation,8169,1640,0.6924334363663215,0.6925107986155477,-7.736224922616497e-05,0.24964783630505896,0.2496868900347292
rsi,3,12,1,rsi-p7-l20-u80-continuation,1600,1642,0.7042615873371245,0.7060119153864511,-0.0017503280493266216,0.2554950656783183,0.25634539817885593
bollinger,3,12,1,bollinger-p10-k2-continuation,1600,1642,0.7042615873371245,0.7051260027791683,-0.0008644154420437422,0.2554950656783183,0.255904160271534
rsi,3,12,2,rsi-p7-l20-u80-continuation,3242,1642,0.691504417076932,0.6914615224190586,4.2894657873437936e-05,0.24918517598041579,0.24916473835722228
bollinger,3,12,2,bollinger-p20-k1.5-continuation,3242,1642,0.691504417076932,0.6915441514794752,-3.973440254323446e-05,0.24918517598041579,0.24920538725618682
rsi,3,12,3,rsi-p28-l20-u80-continuation,4884,1642,0.6951120679980898,0.6953288862398758,-0.00021681824178598763,0.2509790875427398,0.2510865447316898
bollinger,3,12,3,bollinger-p10-k2.5-continuation,4884,1642,0.6951120679980898,0.6952433855919128,-0.00013131759382301045,0.2509790875427398,0.2510437687221616
rsi,3,12,4,rsi-p28-l20-u80-continuation,6526,1642,0.6902255910274661,0.6904793266657087,-0.0002537356382426026,0.24855893601402893,0.24868058592164882
bollinger,3,12,4,bollinger-p40-k1.5-continuation,6526,1642,0.6902255910274661,0.6906478229469135,-0.00042223191944745775,0.24855893601402893,0.24876394078451353
rsi,3,12,5,rsi-p28-l20-u80-continuation,8168,1639,0.6927770102260865,0.6927843933259547,-7.38309986814123e-06,0.24980985660234967,0.24981374226088884
bollinger,3,12,5,bollinger-p40-k2.5-continuation,8168,1639,0.6927770102260865,0.6926692745406134,0.00010773568547306489,0.24980985660234967,0.2497577525742571
rsi,6,24,1,rsi-p7-l20-u80-continuation,1597,1642,0.7205063654125381,0.7237822291055827,-0.003275863693044556,0.2632181187734678,0.26467561297860054
bollinger,6,24,1,bollinger-p20-k1.5-continuation,1597,1642,0.7205063654125381,0.7235700767292566,-0.0030637113167184538,0.2632181187734678,0.2646140598603325
rsi,6,24,2,rsi-p7-l20-u80-continuation,3239,1642,0.6932685267196049,0.6939625171461722,-0.0006939904265672592,0.25003081293659846,0.25032858773923206
bollinger,6,24,2,bollinger-p20-k1.5-continuation,3239,1642,0.6932685267196049,0.6933945095927997,-0.0001259828731947632,0.25003081293659846,0.2500470874854151
rsi,6,24,3,rsi-p28-l20-u80-continuation,4881,1642,0.6945371253583454,0.6926496814455184,0.0018874439128270248,0.25069562666467327,0.24975098167562143
bollinger,6,24,3,bollinger-p20-k1.5-continuation,4881,1642,0.6945371253583454,0.6939233975091557,0.0006137278491897824,0.25069562666467327,0.2503949331953378
rsi,6,24,4,rsi-p28-l20-u80-continuation,6523,1642,0.6915114224350507,0.6917097225149738,-0.00019830007992305276,0.24921000887334593,0.24930958207698473
bollinger,6,24,4,bollinger-p40-k1.5-continuation,6523,1642,0.6915114224350507,0.6920872914868663,-0.000575869051815614,0.24921000887334593,0.2494894855402771
rsi,6,24,5,rsi-p28-l20-u80-continuation,8165,1636,0.6882756452354729,0.6894496067573733,-0.001173961521900413,0.24759472444140387,0.2481745957304107
bollinger,6,24,5,bollinger-p40-k1.5-continuation,8165,1636,0.6882756452354729,0.6887280650450726,-0.0004524198095996468,0.24759472444140387,0.24780991770416447
