signal_family,horizon_candles,horizon_hours,outer_fold,inner_fold,selected_signal_spec_id,selected_pipeline_id,calibration_method,eligible_for_selection,governance_role,train_rows,fit_rows,calibration_rows,test_rows,benchmark_log_loss,candidate_log_loss,incremental_log_loss,benchmark_brier,candidate_brier,benchmark_ece,candidate_ece
rsi,1,4,1,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,True,CONFIRMATORY_CANDIDATE,381,381,0,410,0.6885420388667091,0.6877918606326751,0.0007501782340340046,0.2477605716177002,0.24744000522805665,0.05657428364540777,0.05530769723809346
rsi,1,4,1,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,True,CONFIRMATORY_CANDIDATE,791,791,0,410,0.6978282289635952,0.698873775481194,-0.0010455465175988055,0.2523148999947738,0.25283564900133243,0.06328842489227329,0.06360597944071057
rsi,1,4,1,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,True,CONFIRMATORY_CANDIDATE,1201,1201,0,410,0.710770446950362,0.7035376677774325,0.0072327791729294155,0.2585628863936481,0.25505161548119565,0.0942907964065336,0.06595087069750731
rsi,1,4,1,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,sigmoid,True,CONFIRMATORY_CANDIDATE,381,304,76,410,0.6928004062344748,0.6877807762674628,0.005019629967011996,0.24998460296824707,0.24750766595093537,0.06940797156334652,0.05506359150495107
rsi,1,4,1,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,sigmoid,True,CONFIRMATORY_CANDIDATE,791,632,158,410,0.7000620938627866,0.7015379339581084,-0.0014758400953217565,0.25323220014985653,0.25396604752321994,0.07913032645379742,0.07740968979679884
rsi,1,4,1,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,sigmoid,True,CONFIRMATORY_CANDIDATE,1201,960,240,410,0.711380333918322,0.716944665767627,-0.005564331849305049,0.25905893151160564,0.26173140207202944,0.10389972752407084,0.10663572287553605
rsi,1,4,1,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,isotonic,False,DIAGNOSTIC_ONLY,381,304,76,410,0.7900490682831335,1.201756010586172,-0.4117069423030385,0.2549802148006793,0.2588773985573935,0.12787477648951548,0.09580095711075419
rsi,1,4,1,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,isotonic,False,DIAGNOSTIC_ONLY,791,632,158,410,0.7483273181484592,0.7447991415394413,0.003528176609017941,0.27051359521993973,0.26877928137213614,0.09297504038350238,0.0940654075094137
rsi,1,4,1,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,isotonic,False,DIAGNOSTIC_ONLY,1201,960,240,410,1.04593297431864,0.9092565532959963,0.13667642102264377,0.2701089773759372,0.26832114431623405,0.11876448044095472,0.12376538905648395
bollinger,1,4,1,1,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,True,CONFIRMATORY_CANDIDATE,381,381,0,410,0.6885420388667091,0.6886694259523154,-0.00012738708560633416,0.2477605716177002,0.24781746172360317,0.05657428364540777,0.0639490602609592
bollinger,1,4,1,2,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,True,CONFIRMATORY_CANDIDATE,791,791,0,410,0.6978282289635952,0.6990892532853126,-0.0012610243217173744,0.2523148999947738,0.2529401792696453,0.06328842489227329,0.06214663405296736
bollinger,1,4,1,3,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,True,CONFIRMATORY_CANDIDATE,1201,1201,0,410,0.710770446950362,0.7013026943491776,0.009467752601184376,0.2585628863936481,0.25402403428946896,0.0942907964065336,0.06499807680687889
bollinger,1,4,1,1,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,sigmoid,True,CONFIRMATORY_CANDIDATE,381,304,76,410,0.6928004062344748,0.6913953166669395,0.001405089567535267,0.24998460296824707,0.24923356505204639,0.06940797156334652,0.06470657949666092
