signal_family,horizon_candles,horizon_hours,outer_fold,inner_fold,selected_signal_spec_id,selected_pipeline_id,selected_calibration_method,threshold,coverage,nonzero_decisions,mean_net_edge,cumulative_net_return,turnover_units
rsi,1,4,1,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.0,1.0,410,0.0015999910503456522,0.6559963306417174,399.0
rsi,1,4,1,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.02,0.6195121951219512,254,0.004601606557415895,1.0738080655836368,338.0
rsi,1,4,1,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.05,0.3926829268292683,161,0.005267700109804219,0.7590997176784791,228.0
rsi,1,4,1,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.1,0.11463414634146342,47,0.03011818223471533,1.3765545650316209,84.0
rsi,1,4,1,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.0,1.0,410,-0.0002935833622509765,-0.12036917852290036,227.0
rsi,1,4,1,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.02,0.7585365853658537,311,-0.0009291413008388221,-0.35396294456087385,240.0
rsi,1,4,1,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.05,0.36341463414634145,149,-0.0008978872956648982,-0.21278520705406995,168.0
rsi,1,4,1,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.1,0.0,0,0.0,0.0,0.0
rsi,1,4,1,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.0,1.0,410,-0.002246504409149838,-0.9210668077514336,379.0
rsi,1,4,1,3,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.02,0.8170731707317073,335,-0.0007689550455754325,-0.3085999402677697,341.0
