signal_family,horizon_candles,horizon_hours,outer_fold,selected_signal_spec_id,selected_pipeline_id,model_family,window_scheme,regime_conditioned,parameters_json,selected_calibration_method,selected_threshold,train_rows,fit_rows,calibration_rows,test_rows,benchmark_log_loss,candidate_log_loss,incremental_log_loss,benchmark_brier,candidate_brier,benchmark_ece,candidate_ece,policy_coverage,policy_nonzero_decisions,policy_mean_net_edge,policy_cumulative_net_return,policy_turnover_units,economic_gate_evaluated
rsi,1,4,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.1,1612,1612,0,1642,0.702334696874198,0.7041795240043287,-0.0018448271301306773,0.2544823933764278,0.25536616873242207,0.059931448535435784,0.05672347143042136,0.14494518879415347,238,-0.001106140531887514,-0.44426144658922845,376.0,False
bollinger,1,4,1,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.05,1612,1612,0,1642,0.702334696874198,0.6985836053450121,0.003751091529185957,0.2544823933764278,0.2526428906194818,0.059931448535435784,0.04623109202320956,0.4476248477466504,735,-0.0003885751573663767,-0.6266027406642872,810.0,False
rsi,1,4,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",none,0.05,3254,3254,0,1642,0.6923836947077896,0.6906329379771587,0.0017507567306308536,0.24960839374325794,0.24874638384592967,0.04026436449689584,0.02276692372970852,0.328258221680877,539,0.0010901874656960556,0.2466110440101737,796.0,False
bollinger,1,4,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",none,0.05,3254,3254,0,1642,0.6923836947077896,0.6921464799183233,0.00023721478946625574,0.24960839374325794,0.2494849314419179,0.04026436449689584,0.010535412529872345,0.3209500609013398,527,0.0014382619315169742,0.4319640379094452,744.0,False
rsi,1,4,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,False,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.05,4896,4896,0,1642,0.6934443732173202,0.6933690081306532,7.536508666705632e-05,0.2501495332594719,0.25011263025024316,0.035382763036558046,0.03574788425403213,0.15712545676004872,258,0.00022617251998916342,-0.1346474898427958,400.0,False
bollinger,1,4,3,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",none,0.02,4885,4885,0,1642,0.6935595769053681,0.6931005621130831,0.0004590147922849397,0.25020791048779767,0.24997631266642462,0.03659789057152989,0.029067046348318734,0.5481120584652862,900,-0.00017526056620383504,-0.47973450958345143,808.0,False
rsi,1,4,4,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.02,6538,6538,0,1642,0.6912570780253418,0.69219733674401,-0.0009402587186682076,0.2490579180790206,0.24952646816905713,0.018719899313186066,0.02107291460280386,0.7161997563946407,1176,0.00027709261431705593,0.006860914436857546,1021.0,False
bollinger,1,4,4,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100, ""window_observations"": 2190}",none,0.02,2190,2190,0,1642,0.6966518578311758,0.6947417183873845,0.0019101394437912589,0.25170819358157,0.250794448935987,0.03624802854441134,0.04240166327130887,0.7929354445797807,1302,-7.347444852300271e-05,-0.3526637319769499,1117.0,False
rsi,1,4,5,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 100}",none,0.0,8180,8180,0,1641,0.6944914528057952,0.6937813136548481,0.0007101391509470867,0.25065803161750533,0.25029857098675407,0.015905575095958614,0.011290209769823992,1.0,1641,-0.0004145353983016598,-0.6802525886130237,1351.0,False
bollinger,1,4,5,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,True,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",none,0.02,8169,8169,0,1641,0.696240945498914,0.6954241636034277,0.0008167818954862849,0.25151094541849706,0.25112124262320573,0.03207529180829691,0.03589523222898643,0.7245581962218159,1189,-0.00015575908141746706,-0.4781975478053685,1116.0,False
