signal_family,horizon_candles,horizon_hours,outer_fold,selected_signal_spec_id,selected_pipeline_id,selected_calibration_method,selected_threshold,mean_inner_coverage,inner_nonzero_decisions,mean_inner_net_edge,positive_inner_folds,governance_interpretation
rsi,1,4,1,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.1,0.11056910569105692,136,0.010944872535777262,2,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
bollinger,1,4,1,bollinger-p10-k2-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.05,0.3715447154471545,457,0.0036266707195930174,2,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
rsi,1,4,2,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.05,0.36463414634146335,897,-1.4076889876590403e-05,1,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
bollinger,1,4,2,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-unconditioned,none,0.05,0.20934959349593496,515,-0.00029023035817598376,2,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
rsi,1,4,3,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,none,0.05,0.19388031410777148,716,0.006362962565366929,3,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
bollinger,1,4,3,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.02,0.602761982128351,2226,-0.00042267849688925723,1,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
rsi,1,4,4,rsi-p7-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.02,0.6632134877107455,3265,-0.000215013971316281,1,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
bollinger,1,4,4,bollinger-p10-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,none,0.02,0.6652447694495226,3275,-0.000344778111011213,1,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
rsi,1,4,5,rsi-p28-l20-u80-continuation,shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,none,0.0,1.0,6156,-0.00047027167006408665,0,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
bollinger,1,4,5,bollinger-p40-k1.5-continuation,shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes15-min_samples_leaf100-expanding-softstate,none,0.02,0.6216699155295646,3827,-0.0006018784429224144,0,DEVELOPMENT_POLICY_SELECTION_NOT_ECONOMIC_GATE
