pipeline_id,model_family,window_scheme,window_observations,regime_conditioned,parameters_json,complexity_rank
regularized_linear-C0p1-expanding-unconditioned,regularized_linear,expanding,,False,"{""C"":0.1}",1
regularized_linear-C0p1-expanding-softstate,regularized_linear,expanding,,True,"{""C"":0.1}",2
regularized_linear-C0p1-window_observations4380-rolling_two_year-unconditioned,regularized_linear,rolling_two_year,4380.0,False,"{""C"":0.1,""window_observations"":4380}",3
regularized_linear-C0p1-window_observations4380-rolling_two_year-softstate,regularized_linear,rolling_two_year,4380.0,True,"{""C"":0.1,""window_observations"":4380}",4
regularized_linear-C0p1-window_observations2190-rolling_one_year-unconditioned,regularized_linear,rolling_one_year,2190.0,False,"{""C"":0.1,""window_observations"":2190}",5
regularized_linear-C0p1-window_observations2190-rolling_one_year-softstate,regularized_linear,rolling_one_year,2190.0,True,"{""C"":0.1,""window_observations"":2190}",6
regularized_linear-C1p0-expanding-unconditioned,regularized_linear,expanding,,False,"{""C"":1.0}",7
regularized_linear-C1p0-expanding-softstate,regularized_linear,expanding,,True,"{""C"":1.0}",8
regularized_linear-C1p0-window_observations4380-rolling_two_year-unconditioned,regularized_linear,rolling_two_year,4380.0,False,"{""C"":1.0,""window_observations"":4380}",9
regularized_linear-C1p0-window_observations4380-rolling_two_year-softstate,regularized_linear,rolling_two_year,4380.0,True,"{""C"":1.0,""window_observations"":4380}",10
regularized_linear-C1p0-window_observations2190-rolling_one_year-unconditioned,regularized_linear,rolling_one_year,2190.0,False,"{""C"":1.0,""window_observations"":2190}",11
regularized_linear-C1p0-window_observations2190-rolling_one_year-softstate,regularized_linear,rolling_one_year,2190.0,True,"{""C"":1.0,""window_observations"":2190}",12
regularized_linear-C10p0-expanding-unconditioned,regularized_linear,expanding,,False,"{""C"":10.0}",13
regularized_linear-C10p0-expanding-softstate,regularized_linear,expanding,,True,"{""C"":10.0}",14
regularized_linear-C10p0-window_observations4380-rolling_two_year-unconditioned,regularized_linear,rolling_two_year,4380.0,False,"{""C"":10.0,""window_observations"":4380}",15
regularized_linear-C10p0-window_observations4380-rolling_two_year-softstate,regularized_linear,rolling_two_year,4380.0,True,"{""C"":10.0,""window_observations"":4380}",16
regularized_linear-C10p0-window_observations2190-rolling_one_year-unconditioned,regularized_linear,rolling_one_year,2190.0,False,"{""C"":10.0,""window_observations"":2190}",17
regularized_linear-C10p0-window_observations2190-rolling_one_year-softstate,regularized_linear,rolling_one_year,2190.0,True,"{""C"":10.0,""window_observations"":2190}",18
spline_regularized-C0p1-degree3-n_knots4-expanding-unconditioned,spline_regularized,expanding,,False,"{""C"":0.1,""degree"":3,""n_knots"":4}",19
spline_regularized-C0p1-degree3-n_knots4-expanding-softstate,spline_regularized,expanding,,True,"{""C"":0.1,""degree"":3,""n_knots"":4}",20
spline_regularized-C0p1-degree3-n_knots4-window_observations4380-rolling_two_year-unconditioned,spline_regularized,rolling_two_year,4380.0,False,"{""C"":0.1,""degree"":3,""n_knots"":4,""window_observations"":4380}",21
spline_regularized-C0p1-degree3-n_knots4-window_observations4380-rolling_two_year-softstate,spline_regularized,rolling_two_year,4380.0,True,"{""C"":0.1,""degree"":3,""n_knots"":4,""window_observations"":4380}",22
spline_regularized-C0p1-degree3-n_knots4-window_observations2190-rolling_one_year-unconditioned,spline_regularized,rolling_one_year,2190.0,False,"{""C"":0.1,""degree"":3,""n_knots"":4,""window_observations"":2190}",23
spline_regularized-C0p1-degree3-n_knots4-window_observations2190-rolling_one_year-softstate,spline_regularized,rolling_one_year,2190.0,True,"{""C"":0.1,""degree"":3,""n_knots"":4,""window_observations"":2190}",24
spline_regularized-C1p0-degree3-n_knots4-expanding-unconditioned,spline_regularized,expanding,,False,"{""C"":1.0,""degree"":3,""n_knots"":4}",25
spline_regularized-C1p0-degree3-n_knots4-expanding-softstate,spline_regularized,expanding,,True,"{""C"":1.0,""degree"":3,""n_knots"":4}",26
spline_regularized-C1p0-degree3-n_knots4-window_observations4380-rolling_two_year-unconditioned,spline_regularized,rolling_two_year,4380.0,False,"{""C"":1.0,""degree"":3,""n_knots"":4,""window_observations"":4380}",27
spline_regularized-C1p0-degree3-n_knots4-window_observations4380-rolling_two_year-softstate,spline_regularized,rolling_two_year,4380.0,True,"{""C"":1.0,""degree"":3,""n_knots"":4,""window_observations"":4380}",28
spline_regularized-C1p0-degree3-n_knots4-window_observations2190-rolling_one_year-unconditioned,spline_regularized,rolling_one_year,2190.0,False,"{""C"":1.0,""degree"":3,""n_knots"":4,""window_observations"":2190}",29
spline_regularized-C1p0-degree3-n_knots4-window_observations2190-rolling_one_year-softstate,spline_regularized,rolling_one_year,2190.0,True,"{""C"":1.0,""degree"":3,""n_knots"":4,""window_observations"":2190}",30
spline_regularized-C0p1-degree3-n_knots6-expanding-unconditioned,spline_regularized,expanding,,False,"{""C"":0.1,""degree"":3,""n_knots"":6}",31
spline_regularized-C0p1-degree3-n_knots6-expanding-softstate,spline_regularized,expanding,,True,"{""C"":0.1,""degree"":3,""n_knots"":6}",32
spline_regularized-C0p1-degree3-n_knots6-window_observations4380-rolling_two_year-unconditioned,spline_regularized,rolling_two_year,4380.0,False,"{""C"":0.1,""degree"":3,""n_knots"":6,""window_observations"":4380}",33
spline_regularized-C0p1-degree3-n_knots6-window_observations4380-rolling_two_year-softstate,spline_regularized,rolling_two_year,4380.0,True,"{""C"":0.1,""degree"":3,""n_knots"":6,""window_observations"":4380}",34
spline_regularized-C0p1-degree3-n_knots6-window_observations2190-rolling_one_year-unconditioned,spline_regularized,rolling_one_year,2190.0,False,"{""C"":0.1,""degree"":3,""n_knots"":6,""window_observations"":2190}",35
spline_regularized-C0p1-degree3-n_knots6-window_observations2190-rolling_one_year-softstate,spline_regularized,rolling_one_year,2190.0,True,"{""C"":0.1,""degree"":3,""n_knots"":6,""window_observations"":2190}",36
spline_regularized-C1p0-degree3-n_knots6-expanding-unconditioned,spline_regularized,expanding,,False,"{""C"":1.0,""degree"":3,""n_knots"":6}",37
spline_regularized-C1p0-degree3-n_knots6-expanding-softstate,spline_regularized,expanding,,True,"{""C"":1.0,""degree"":3,""n_knots"":6}",38
spline_regularized-C1p0-degree3-n_knots6-window_observations4380-rolling_two_year-unconditioned,spline_regularized,rolling_two_year,4380.0,False,"{""C"":1.0,""degree"":3,""n_knots"":6,""window_observations"":4380}",39
spline_regularized-C1p0-degree3-n_knots6-window_observations4380-rolling_two_year-softstate,spline_regularized,rolling_two_year,4380.0,True,"{""C"":1.0,""degree"":3,""n_knots"":6,""window_observations"":4380}",40
spline_regularized-C1p0-degree3-n_knots6-window_observations2190-rolling_one_year-unconditioned,spline_regularized,rolling_one_year,2190.0,False,"{""C"":1.0,""degree"":3,""n_knots"":6,""window_observations"":2190}",41
spline_regularized-C1p0-degree3-n_knots6-window_observations2190-rolling_one_year-softstate,spline_regularized,rolling_one_year,2190.0,True,"{""C"":1.0,""degree"":3,""n_knots"":6,""window_observations"":2190}",42
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100}",43
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100}",44
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-unconditioned,shallow_hist_gradient_boosting,rolling_two_year,4380.0,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":4380}",45
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations4380-rolling_two_year-softstate,shallow_hist_gradient_boosting,rolling_two_year,4380.0,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":4380}",46
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-unconditioned,shallow_hist_gradient_boosting,rolling_one_year,2190.0,False,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":2190}",47
shallow_hist_gradient_boosting-l2_regularization0p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-window_observations2190-rolling_one_year-softstate,shallow_hist_gradient_boosting,rolling_one_year,2190.0,True,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100,""window_observations"":2190}",48
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-unconditioned,shallow_hist_gradient_boosting,expanding,,False,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100}",49
shallow_hist_gradient_boosting-l2_regularization1p0-learning_rate0p05-max_iter100-max_leaf_nodes7-min_samples_leaf100-expanding-softstate,shallow_hist_gradient_boosting,expanding,,True,"{""l2_regularization"":1.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":7,""min_samples_leaf"":100}",50
