level,horizon_candles,horizon_hours,outer_fold,inner_fold,train_rows,purge_rows,test_rows,train_start_utc,train_end_utc,test_start_utc,test_end_utc
outer,1,4,1,,1641,1,1642,2021-01-01T00:00:00+00:00,2021-10-01T08:00:00+00:00,2021-10-01T16:00:00+00:00,2022-07-02T04:00:00+00:00
inner,1,4,1,1.0,410,1,410,2021-01-01T00:00:00+00:00,2021-03-10T04:00:00+00:00,2021-03-10T12:00:00+00:00,2021-05-17T16:00:00+00:00
inner,1,4,1,2.0,820,1,410,2021-01-01T00:00:00+00:00,2021-05-17T12:00:00+00:00,2021-05-17T20:00:00+00:00,2021-07-25T00:00:00+00:00
inner,1,4,1,3.0,1230,1,410,2021-01-01T00:00:00+00:00,2021-07-24T20:00:00+00:00,2021-07-25T04:00:00+00:00,2021-10-01T08:00:00+00:00
outer,1,4,2,,3283,1,1642,2021-01-01T00:00:00+00:00,2022-07-02T00:00:00+00:00,2022-07-02T08:00:00+00:00,2023-04-01T20:00:00+00:00
inner,1,4,2,1.0,822,1,820,2021-01-01T00:00:00+00:00,2021-05-17T20:00:00+00:00,2021-05-18T04:00:00+00:00,2021-10-01T16:00:00+00:00
inner,1,4,2,2.0,1642,1,820,2021-01-01T00:00:00+00:00,2021-10-01T12:00:00+00:00,2021-10-01T20:00:00+00:00,2022-02-15T08:00:00+00:00
inner,1,4,2,3.0,2462,1,820,2021-01-01T00:00:00+00:00,2022-02-15T04:00:00+00:00,2022-02-15T12:00:00+00:00,2022-07-02T00:00:00+00:00
outer,1,4,3,,4925,1,1642,2021-01-01T00:00:00+00:00,2023-04-01T16:00:00+00:00,2023-04-02T00:00:00+00:00,2023-12-31T12:00:00+00:00
inner,1,4,3,1.0,1231,1,1231,2021-01-01T00:00:00+00:00,2021-07-25T00:00:00+00:00,2021-07-25T08:00:00+00:00,2022-02-15T08:00:00+00:00
inner,1,4,3,2.0,2462,1,1231,2021-01-01T00:00:00+00:00,2022-02-15T04:00:00+00:00,2022-02-15T12:00:00+00:00,2022-09-08T12:00:00+00:00
inner,1,4,3,3.0,3693,1,1231,2021-01-01T00:00:00+00:00,2022-09-08T08:00:00+00:00,2022-09-08T16:00:00+00:00,2023-04-01T16:00:00+00:00
outer,1,4,4,,6567,1,1642,2021-01-01T00:00:00+00:00,2023-12-31T08:00:00+00:00,2023-12-31T16:00:00+00:00,2024-09-30T04:00:00+00:00
inner,1,4,4,1.0,1643,1,1641,2021-01-01T00:00:00+00:00,2021-10-01T16:00:00+00:00,2021-10-02T00:00:00+00:00,2022-07-02T08:00:00+00:00
inner,1,4,4,2.0,3284,1,1641,2021-01-01T00:00:00+00:00,2022-07-02T04:00:00+00:00,2022-07-02T12:00:00+00:00,2023-04-01T20:00:00+00:00
inner,1,4,4,3.0,4925,1,1641,2021-01-01T00:00:00+00:00,2023-04-01T16:00:00+00:00,2023-04-02T00:00:00+00:00,2023-12-31T08:00:00+00:00
outer,1,4,5,,8209,1,1642,2021-01-01T00:00:00+00:00,2024-09-30T00:00:00+00:00,2024-09-30T08:00:00+00:00,2025-06-30T20:00:00+00:00
inner,1,4,5,1.0,2052,1,2052,2021-01-01T00:00:00+00:00,2021-12-08T20:00:00+00:00,2021-12-09T04:00:00+00:00,2022-11-16T00:00:00+00:00
inner,1,4,5,2.0,4104,1,2052,2021-01-01T00:00:00+00:00,2022-11-15T20:00:00+00:00,2022-11-16T04:00:00+00:00,2023-10-24T00:00:00+00:00
inner,1,4,5,3.0,6156,1,2052,2021-01-01T00:00:00+00:00,2023-10-23T20:00:00+00:00,2023-10-24T04:00:00+00:00,2024-09-30T00:00:00+00:00
outer,2,8,1,,1640,2,1642,2021-01-01T00:00:00+00:00,2021-10-01T04:00:00+00:00,2021-10-01T16:00:00+00:00,2022-07-02T04:00:00+00:00
inner,2,8,1,1.0,408,2,410,2021-01-01T00:00:00+00:00,2021-03-09T20:00:00+00:00,2021-03-10T08:00:00+00:00,2021-05-17T12:00:00+00:00
inner,2,8,1,2.0,818,2,410,2021-01-01T00:00:00+00:00,2021-05-17T04:00:00+00:00,2021-05-17T16:00:00+00:00,2021-07-24T20:00:00+00:00
inner,2,8,1,3.0,1228,2,410,2021-01-01T00:00:00+00:00,2021-07-24T12:00:00+00:00,2021-07-25T00:00:00+00:00,2021-10-01T04:00:00+00:00
outer,2,8,2,,3282,2,1642,2021-01-01T00:00:00+00:00,2022-07-01T20:00:00+00:00,2022-07-02T08:00:00+00:00,2023-04-01T20:00:00+00:00
inner,2,8,2,1.0,820,2,820,2021-01-01T00:00:00+00:00,2021-05-17T12:00:00+00:00,2021-05-18T00:00:00+00:00,2021-10-01T12:00:00+00:00
inner,2,8,2,2.0,1640,2,820,2021-01-01T00:00:00+00:00,2021-10-01T04:00:00+00:00,2021-10-01T16:00:00+00:00,2022-02-15T04:00:00+00:00
inner,2,8,2,3.0,2460,2,820,2021-01-01T00:00:00+00:00,2022-02-14T20:00:00+00:00,2022-02-15T08:00:00+00:00,2022-07-01T20:00:00+00:00
outer,2,8,3,,4924,2,1642,2021-01-01T00:00:00+00:00,2023-04-01T12:00:00+00:00,2023-04-02T00:00:00+00:00,2023-12-31T12:00:00+00:00
inner,2,8,3,1.0,1229,2,1231,2021-01-01T00:00:00+00:00,2021-07-24T16:00:00+00:00,2021-07-25T04:00:00+00:00,2022-02-15T04:00:00+00:00
inner,2,8,3,2.0,2460,2,1231,2021-01-01T00:00:00+00:00,2022-02-14T20:00:00+00:00,2022-02-15T08:00:00+00:00,2022-09-08T08:00:00+00:00
inner,2,8,3,3.0,3691,2,1231,2021-01-01T00:00:00+00:00,2022-09-08T00:00:00+00:00,2022-09-08T12:00:00+00:00,2023-04-01T12:00:00+00:00
outer,2,8,4,,6566,2,1642,2021-01-01T00:00:00+00:00,2023-12-31T04:00:00+00:00,2023-12-31T16:00:00+00:00,2024-09-30T04:00:00+00:00
inner,2,8,4,1.0,1641,2,1641,2021-01-01T00:00:00+00:00,2021-10-01T08:00:00+00:00,2021-10-01T20:00:00+00:00,2022-07-02T04:00:00+00:00
inner,2,8,4,2.0,3282,2,1641,2021-01-01T00:00:00+00:00,2022-07-01T20:00:00+00:00,2022-07-02T08:00:00+00:00,2023-04-01T16:00:00+00:00
inner,2,8,4,3.0,4923,2,1641,2021-01-01T00:00:00+00:00,2023-04-01T08:00:00+00:00,2023-04-01T20:00:00+00:00,2023-12-31T04:00:00+00:00
outer,2,8,5,,8208,2,1642,2021-01-01T00:00:00+00:00,2024-09-29T20:00:00+00:00,2024-09-30T08:00:00+00:00,2025-06-30T20:00:00+00:00
inner,2,8,5,1.0,2050,2,2052,2021-01-01T00:00:00+00:00,2021-12-08T12:00:00+00:00,2021-12-09T00:00:00+00:00,2022-11-15T20:00:00+00:00
inner,2,8,5,2.0,4102,2,2052,2021-01-01T00:00:00+00:00,2022-11-15T12:00:00+00:00,2022-11-16T00:00:00+00:00,2023-10-23T20:00:00+00:00
inner,2,8,5,3.0,6154,2,2052,2021-01-01T00:00:00+00:00,2023-10-23T12:00:00+00:00,2023-10-24T00:00:00+00:00,2024-09-29T20:00:00+00:00
outer,3,12,1,,1639,3,1642,2021-01-01T00:00:00+00:00,2021-10-01T00:00:00+00:00,2021-10-01T16:00:00+00:00,2022-07-02T04:00:00+00:00
inner,3,12,1,1.0,409,3,409,2021-01-01T00:00:00+00:00,2021-03-10T00:00:00+00:00,2021-03-10T16:00:00+00:00,2021-05-17T16:00:00+00:00
inner,3,12,1,2.0,818,3,409,2021-01-01T00:00:00+00:00,2021-05-17T04:00:00+00:00,2021-05-17T20:00:00+00:00,2021-07-24T20:00:00+00:00
inner,3,12,1,3.0,1227,3,409,2021-01-01T00:00:00+00:00,2021-07-24T08:00:00+00:00,2021-07-25T00:00:00+00:00,2021-10-01T00:00:00+00:00
outer,3,12,2,,3281,3,1642,2021-01-01T00:00:00+00:00,2022-07-01T16:00:00+00:00,2022-07-02T08:00:00+00:00,2023-04-01T20:00:00+00:00
inner,3,12,2,1.0,818,3,820,2021-01-01T00:00:00+00:00,2021-05-17T04:00:00+00:00,2021-05-17T20:00:00+00:00,2021-10-01T08:00:00+00:00
inner,3,12,2,2.0,1638,3,820,2021-01-01T00:00:00+00:00,2021-09-30T20:00:00+00:00,2021-10-01T12:00:00+00:00,2022-02-15T00:00:00+00:00
inner,3,12,2,3.0,2458,3,820,2021-01-01T00:00:00+00:00,2022-02-14T12:00:00+00:00,2022-02-15T04:00:00+00:00,2022-07-01T16:00:00+00:00
outer,3,12,3,,4923,3,1642,2021-01-01T00:00:00+00:00,2023-04-01T08:00:00+00:00,2023-04-02T00:00:00+00:00,2023-12-31T12:00:00+00:00
inner,3,12,3,1.0,1230,3,1230,2021-01-01T00:00:00+00:00,2021-07-24T20:00:00+00:00,2021-07-25T12:00:00+00:00,2022-02-15T08:00:00+00:00
inner,3,12,3,2.0,2460,3,1230,2021-01-01T00:00:00+00:00,2022-02-14T20:00:00+00:00,2022-02-15T12:00:00+00:00,2022-09-08T08:00:00+00:00
inner,3,12,3,3.0,3690,3,1230,2021-01-01T00:00:00+00:00,2022-09-07T20:00:00+00:00,2022-09-08T12:00:00+00:00,2023-04-01T08:00:00+00:00
outer,3,12,4,,6565,3,1642,2021-01-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,2023-12-31T16:00:00+00:00,2024-09-30T04:00:00+00:00
inner,3,12,4,1.0,1639,3,1641,2021-01-01T00:00:00+00:00,2021-10-01T00:00:00+00:00,2021-10-01T16:00:00+00:00,2022-07-02T00:00:00+00:00
inner,3,12,4,2.0,3280,3,1641,2021-01-01T00:00:00+00:00,2022-07-01T12:00:00+00:00,2022-07-02T04:00:00+00:00,2023-04-01T12:00:00+00:00
inner,3,12,4,3.0,4921,3,1641,2021-01-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,2023-04-01T16:00:00+00:00,2023-12-31T00:00:00+00:00
outer,3,12,5,,8207,3,1642,2021-01-01T00:00:00+00:00,2024-09-29T16:00:00+00:00,2024-09-30T08:00:00+00:00,2025-06-30T20:00:00+00:00
inner,3,12,5,1.0,2051,3,2051,2021-01-01T00:00:00+00:00,2021-12-08T16:00:00+00:00,2021-12-09T08:00:00+00:00,2022-11-16T00:00:00+00:00
inner,3,12,5,2.0,4102,3,2051,2021-01-01T00:00:00+00:00,2022-11-15T12:00:00+00:00,2022-11-16T04:00:00+00:00,2023-10-23T20:00:00+00:00
inner,3,12,5,3.0,6153,3,2051,2021-01-01T00:00:00+00:00,2023-10-23T08:00:00+00:00,2023-10-24T00:00:00+00:00,2024-09-29T16:00:00+00:00
outer,6,24,1,,1636,6,1642,2021-01-01T00:00:00+00:00,2021-09-30T12:00:00+00:00,2021-10-01T16:00:00+00:00,2022-07-02T04:00:00+00:00
inner,6,24,1,1.0,403,6,409,2021-01-01T00:00:00+00:00,2021-03-09T00:00:00+00:00,2021-03-10T04:00:00+00:00,2021-05-17T04:00:00+00:00
inner,6,24,1,2.0,812,6,409,2021-01-01T00:00:00+00:00,2021-05-16T04:00:00+00:00,2021-05-17T08:00:00+00:00,2021-07-24T08:00:00+00:00
inner,6,24,1,3.0,1221,6,409,2021-01-01T00:00:00+00:00,2021-07-23T08:00:00+00:00,2021-07-24T12:00:00+00:00,2021-09-30T12:00:00+00:00
outer,6,24,2,,3278,6,1642,2021-01-01T00:00:00+00:00,2022-07-01T04:00:00+00:00,2022-07-02T08:00:00+00:00,2023-04-01T20:00:00+00:00
inner,6,24,2,1.0,815,6,819,2021-01-01T00:00:00+00:00,2021-05-16T16:00:00+00:00,2021-05-17T20:00:00+00:00,2021-10-01T04:00:00+00:00
inner,6,24,2,2.0,1634,6,819,2021-01-01T00:00:00+00:00,2021-09-30T04:00:00+00:00,2021-10-01T08:00:00+00:00,2022-02-14T16:00:00+00:00
inner,6,24,2,3.0,2453,6,819,2021-01-01T00:00:00+00:00,2022-02-13T16:00:00+00:00,2022-02-14T20:00:00+00:00,2022-07-01T04:00:00+00:00
outer,6,24,3,,4920,6,1642,2021-01-01T00:00:00+00:00,2023-03-31T20:00:00+00:00,2023-04-02T00:00:00+00:00,2023-12-31T12:00:00+00:00
inner,6,24,3,1.0,1224,6,1230,2021-01-01T00:00:00+00:00,2021-07-23T20:00:00+00:00,2021-07-25T00:00:00+00:00,2022-02-14T20:00:00+00:00
inner,6,24,3,2.0,2454,6,1230,2021-01-01T00:00:00+00:00,2022-02-13T20:00:00+00:00,2022-02-15T00:00:00+00:00,2022-09-07T20:00:00+00:00
inner,6,24,3,3.0,3684,6,1230,2021-01-01T00:00:00+00:00,2022-09-06T20:00:00+00:00,2022-09-08T00:00:00+00:00,2023-03-31T20:00:00+00:00
outer,6,24,4,,6562,6,1642,2021-01-01T00:00:00+00:00,2023-12-30T12:00:00+00:00,2023-12-31T16:00:00+00:00,2024-09-30T04:00:00+00:00
inner,6,24,4,1.0,1636,6,1640,2021-01-01T00:00:00+00:00,2021-09-30T12:00:00+00:00,2021-10-01T16:00:00+00:00,2022-07-01T20:00:00+00:00
inner,6,24,4,2.0,3276,6,1640,2021-01-01T00:00:00+00:00,2022-06-30T20:00:00+00:00,2022-07-02T00:00:00+00:00,2023-04-01T04:00:00+00:00
inner,6,24,4,3.0,4916,6,1640,2021-01-01T00:00:00+00:00,2023-03-31T04:00:00+00:00,2023-04-01T08:00:00+00:00,2023-12-30T12:00:00+00:00
outer,6,24,5,,8204,6,1642,2021-01-01T00:00:00+00:00,2024-09-29T04:00:00+00:00,2024-09-30T08:00:00+00:00,2025-06-30T20:00:00+00:00
inner,6,24,5,1.0,2045,6,2051,2021-01-01T00:00:00+00:00,2021-12-07T16:00:00+00:00,2021-12-08T20:00:00+00:00,2022-11-15T12:00:00+00:00
inner,6,24,5,2.0,4096,6,2051,2021-01-01T00:00:00+00:00,2022-11-14T12:00:00+00:00,2022-11-15T16:00:00+00:00,2023-10-23T08:00:00+00:00
inner,6,24,5,3.0,6147,6,2051,2021-01-01T00:00:00+00:00,2023-10-22T08:00:00+00:00,2023-10-23T12:00:00+00:00,2024-09-29T04:00:00+00:00
