signal,fold,train_start,train_end,test_start,test_end,n_train,n_test,baseline_log_loss,signal_log_loss,incremental_log_loss,baseline_brier,signal_brier,incremental_brier,baseline_auc,signal_auc,baseline_accuracy,signal_accuracy,baseline_mean_net_return,signal_mean_net_return,incremental_mean_net_edge
rsi,1,2021-01-05 20:00:00+00:00,2021-12-09 04:00:00+00:00,2021-12-09 12:00:00+00:00,2022-11-11 12:00:00+00:00,2025,2023,0.7008913374515852,0.7053147824268708,-0.004423444975285684,0.25375367031128565,0.25590845094792314,-0.0021547806366374878,0.4917105399594233,0.46990399721402143,0.49332674246169056,0.47157686604053384,-0.0012384654598850105,-0.0009349590175286953,0.0003035064423563152
bollinger,1,2021-01-05 20:00:00+00:00,2021-12-09 04:00:00+00:00,2021-12-09 12:00:00+00:00,2022-11-11 12:00:00+00:00,2025,2023,0.7008913374515852,0.7050198127255178,-0.004128475273932675,0.25375367031128565,0.25570674248274816,-0.001953072171462511,0.4917105399594233,0.48206917600380333,0.49332674246169056,0.4794859120118636,-0.0012384654598850105,-0.0008481836095887052,0.0003902818502963051
combined,1,2021-01-05 20:00:00+00:00,2021-12-09 04:00:00+00:00,2021-12-09 12:00:00+00:00,2022-11-11 12:00:00+00:00,2025,2023,0.7008913374515852,0.7116751424255797,-0.01078380497399456,0.25375367031128565,0.2589061320552961,-0.005152461744010461,0.4917105399594233,0.4702082245060464,0.49332674246169056,0.47750865051903113,-0.0012384654598850105,-0.001423140501906155,-0.0001846750420211445
rsi,2,2021-01-05 20:00:00+00:00,2022-11-11 08:00:00+00:00,2022-11-11 16:00:00+00:00,2023-10-14 16:00:00+00:00,4048,2023,0.6921924190128663,0.6931299682010389,-0.0009375491881725706,0.24952103864585234,0.24997759966436384,-0.0004565610185114921,0.5264531797197177,0.5156517335304343,0.5289174493326743,0.5224913494809689,-0.00021602360262093587,-0.00020327530923712258,1.274829338381328e-05
bollinger,2,2021-01-05 20:00:00+00:00,2022-11-11 08:00:00+00:00,2022-11-11 16:00:00+00:00,2023-10-14 16:00:00+00:00,4048,2023,0.6921924190128663,0.6928345286001758,-0.0006421095873094806,0.24952103864585234,0.24983696376739586,-0.0003159251215435199,0.5264531797197177,0.5185378549235158,0.5289174493326743,0.52743450321305,-0.00021602360262093587,-0.0002386050382458731,-2.258143562493719e-05
combined,2,2021-01-05 20:00:00+00:00,2022-11-11 08:00:00+00:00,2022-11-11 16:00:00+00:00,2023-10-14 16:00:00+00:00,4048,2023,0.6921924190128663,0.6930931185901628,-0.0009006995772964377,0.24952103864585234,0.2499594863108657,-0.0004384476650133584,0.5264531797197177,0.5250150074401707,0.5289174493326743,0.5249629263470094,-0.00021602360262093587,-0.00024397897977547473,-2.7955377154538888e-05
rsi,3,2021-01-05 20:00:00+00:00,2023-10-14 12:00:00+00:00,2023-10-14 20:00:00+00:00,2024-09-15 20:00:00+00:00,6071,2023,0.6907012999978858,0.6908233012451015,-0.00012200124721573058,0.24878425068759705,0.24884441796910206,-6.0167281505013603e-05,0.5422091714383594,0.5407292125483287,0.5407810182896688,0.5383094414236282,0.00032445278832357247,0.00035964778665843527,3.5194998334862826e-05
bollinger,3,2021-01-05 20:00:00+00:00,2023-10-14 12:00:00+00:00,2023-10-14 20:00:00+00:00,2024-09-15 20:00:00+00:00,6071,2023,0.6907012999978858,0.6907273439497297,-2.6043951843912616e-05,0.24878425068759705,0.24880033364006393,-1.6082952466883738e-05,0.5422091714383594,0.542392208682034,0.5407810182896688,0.5422639644092931,0.00032445278832357247,0.00024724250238726965,-7.72102859363028e-05
combined,3,2021-01-05 20:00:00+00:00,2023-10-14 12:00:00+00:00,2023-10-14 20:00:00+00:00,2024-09-15 20:00:00+00:00,6071,2023,0.6907012999978858,0.6905439836016303,0.00015731639625549132,0.24878425068759705,0.24872717712073933,5.707356685771825e-05,0.5422091714383594,0.5345597807468311,0.5407810182896688,0.518536826495304,0.00032445278832357247,0.00026494720406774634,-5.9505584255826025e-05
rsi,4,2021-01-05 20:00:00+00:00,2024-09-15 16:00:00+00:00,2024-09-16 00:00:00+00:00,2025-08-19 00:00:00+00:00,8094,2023,0.6939375400102958,0.6947306027059088,-0.0007930626956129672,0.2503950893751682,0.25078745634556376,-0.00039236697039557455,0.5058663668801017,0.49757563908304414,0.49876421156697975,0.5012357884330203,-7.055953887812058e-05,-6.578931274610368e-05,4.770226132016922e-06
