TOP 5 BEST PERFORMING MODELS (By Log Loss):
                                                                candidate_id target_name                   model_family  log_loss  brier_score
v3g5:single:006ef582002827ae1b08a0f22fa2009a3db79ccd00215eddffba1ea86bcee46c   direction shallow_hist_gradient_boosting  0.686109     0.246493
v3g5:single:86759005941cdc86534d15e7b7dbf2f6b4890cb69d8625ffaf0b1dff609d362e   direction shallow_hist_gradient_boosting  0.686109     0.246493
 v3g5:block:c2a45ddf34a5654bd50ea8ed3dc3b36064007bd3e6882f9b6a473ffea12d0fc2   direction shallow_hist_gradient_boosting  0.686109     0.246493
v3g5:single:2a7e4740803ccbf142bc6ee69e3e38db8beec1a16371c03c29e303b1f22858f8   direction shallow_hist_gradient_boosting  0.686109     0.246493
 v3g5:block:01521fd2a56ccb0ad63ff759476d7d77d3fe7314c9b05bece340eff56f9418ea   direction shallow_hist_gradient_boosting  0.686109     0.246493

WORST 5 PERFORMING MODELS (By Log Loss):
                                                                candidate_id target_name       model_family  log_loss  brier_score
v3g5:single:df4f89aead20b4577cd105104a7f413b6da10c1f63d8871ea8b36beeaeda2033   direction regularized_linear  1.040665     0.377594
v3g5:single:57e57501d993e4f57d20de014abcf4399d215428c1fe60a7efc202a61e39485b   direction regularized_linear  1.040665     0.377594
v3g5:single:abb0a578a49845c2e667975a545984f6f04550c09207d583e6700d7da0a33d63   direction regularized_linear  1.040665     0.377594
v3g5:single:a58eb2e38040310d938fbdf6f5c48f1d3749315340d117174b367818a3b9a36c   direction regularized_linear  1.040665     0.377594
v3g5:single:b583ebbd418860e4fa02d2351e0cd56415b373731f4094eeddf0b603e90bf35b   direction regularized_linear  1.040665     0.377594
